ID,SIG,ROSMSG1,ROSMSG2
1838,Curvature,left_lane,curvature
1838,Curvature_Derivative,left_lane,curvature_derivative
1838,Lane_Location_Type,left_lane,lane_location_type
1838,Lane_Type,left_lane,lane_type
1838,Position,left_lane,position
1838,Quaility,left_lane,quaility
1839,Heading_Angle,left_lane,heading_angle
1839,Lane_Crossing,left_lane,lane_crossing
1839,Lane_View_Range_End,left_lane,lane_view_range_end
1839,Lane_View_Range_Start,left_lane,lane_view_range_start
1839,Lane_mark_color,left_lane,lane_mark_color
1839,Position_STD,left_lane,position_std
1839,TLC,left_lane,tlc
1839,Width_marking,left_lane,width_marking
1840,Curvature,right_lane,curvature
1840,Curvature_Derivative,right_lane,curvature_derivative
1840,Lane_Location_Type,right_lane,lane_location_type
1840,Lane_Type,right_lane,lane_type
1840,Position,right_lane,position
1840,Quaility,right_lane,quaility
1841,Heading_Angle,right_lane,heading_angle
1841,Lane_Crossing,right_lane,lane_crossing
1841,Lane_View_Range_End,right_lane,lane_view_range_end
1841,Lane_View_Range_Start,right_lane,lane_view_range_start
1841,Lane_mark_color,right_lane,lane_mark_color
1841,Position_STD,right_lane,position_std
1841,TLC,right_lane,tlc
1841,Width_marking,right_lane,width_marking
1844,Curvature,next_left_lane,curvature
1844,Curvature_Derivative,next_left_lane,curvature_derivative
1844,Lane_Location_Type,next_left_lane,lane_location_type
1844,Lane_Type,next_left_lane,lane_type
1844,Position,next_left_lane,position
1844,Quaility,next_left_lane,quaility
1845,Heading_Angle,next_left_lane,heading_angle
1845,Lane_Crossing,next_left_lane,lane_crossing
1845,Lane_View_Range_End,next_left_lane,lane_view_range_end
1845,Lane_View_Range_Start,next_left_lane,lane_view_range_start
1845,Lane_mark_color,next_left_lane,lane_mark_color
1845,Position_STD,next_left_lane,position_std
1845,TLC,next_left_lane,tlc
1845,Width_marking,next_left_lane,width_marking
1846,Curvature,next_right_lane,curvature
1846,Curvature_Derivative,next_right_lane,curvature_derivative
1846,Lane_Location_Type,next_right_lane,lane_location_type
1846,Lane_Type,next_right_lane,lane_type
1846,Position,next_right_lane,position
1846,Quaility,next_right_lane,quaility
1847,Heading_Angle,next_right_lane,heading_angle
1847,Lane_Crossing,next_right_lane,lane_crossing
1847,Lane_View_Range_End,next_right_lane,lane_view_range_end
1847,Lane_View_Range_Start,next_right_lane,lane_view_range_start
1847,Lane_mark_color,next_right_lane,lane_mark_color
1847,Position_STD,next_right_lane,position_std
1847,TLC,next_right_lane,tlc
1847,Width_marking,next_right_lane,width_marking
1793,LongitudinalDistanceSTD,obstacle[0],longitudinal_distance_std
1793,ObstacleID,obstacle[0],obstacle_id
1793,ObstacleMeasured,obstacle[0],obstacle_measured
1793,ObstaclePosX,obstacle[0],obstacle_pos_x
1793,ObstaclePosY,obstacle[0],obstacle_pos_y
1793,ObstacleValid,obstacle[0],obstacle_valid
1793,ObstacleVelX,obstacle[0],obstacle_vel_x
1794,BlinkerInfo,obstacle[0],blinker_info
1794,Inverse_TTC,obstacle[0],inverse_ttc
1794,ObstacleAge,obstacle[0],obstacle_age
1794,ObstacleBrakeLights,obstacle[0],obstacle_brake_lights
1794,ObstacleLane,obstacle[0],obstacle_lane
1794,ObstacleStatus,obstacle[0],obstacle_status
1794,ObstacleType,obstacle[0],obstacle_type
1794,ObstacleWidth,obstacle[0],obstacle_width
1795,AngleSTD,obstacle[0],angle_std
1795,ObstacleAngleLeft,obstacle[0],obstacle_angle_left
1795,ObstacleAngleRate,obstacle[0],obstacle_angle_rate
1795,ObstacleAngleRight,obstacle[0],obstacle_angle_right
1795,Obstacle_Accel_X,obstacle[0],obstacle_accel_x
1796,LongitudinalDistanceSTD,obstacle[1],longitudinal_distance_std
1796,ObstacleID,obstacle[1],obstacle_id
1796,ObstacleMeasured,obstacle[1],obstacle_measured
1796,ObstaclePosX,obstacle[1],obstacle_pos_x
1796,ObstaclePosY,obstacle[1],obstacle_pos_y
1797,ObstacleValid,obstacle[1],obstacle_valid
1797,ObstacleVelX,obstacle[1],obstacle_vel_x
1797,BlinkerInfo,obstacle[1],blinker_info
1797,Inverse_TTC,obstacle[1],inverse_ttc
1797,ObstacleAge,obstacle[1],obstacle_age
1797,ObstacleBrakeLights,obstacle[1],obstacle_brake_lights
1797,ObstacleLane,obstacle[1],obstacle_lane
1797,ObstacleStatus,obstacle[1],obstacle_status
1797,ObstacleType,obstacle[1],obstacle_type
1797,ObstacleWidth,obstacle[1],obstacle_width
1798,AngleSTD,obstacle[1],angle_std
1798,ObstacleAngleLeft,obstacle[1],obstacle_angle_left
1798,ObstacleAngleRate,obstacle[1],obstacle_angle_rate
1798,ObstacleAngleRight,obstacle[1],obstacle_angle_right
1798,Obstacle_Accel_X,obstacle[1],obstacle_accel_x
1799,LongitudinalDistanceSTD,obstacle[2],longitudinal_distance_std
1799,ObstacleID,obstacle[2],obstacle_id
1799,ObstacleMeasured,obstacle[2],obstacle_measured
1799,ObstaclePosX,obstacle[2],obstacle_pos_x
1799,ObstaclePosY,obstacle[2],obstacle_pos_y
1799,ObstacleValid,obstacle[2],obstacle_valid
1799,ObstacleVelX,obstacle[2],obstacle_vel_x
1800,BlinkerInfo,obstacle[2],blinker_info
1800,Inverse_TTC,obstacle[2],inverse_ttc
1800,ObstacleAge,obstacle[2],obstacle_age
1800,ObstacleBrakeLights,obstacle[2],obstacle_brake_lights
1800,ObstacleLane,obstacle[2],obstacle_lane
1800,ObstacleStatus,obstacle[2],obstacle_status
1800,ObstacleType,obstacle[2],obstacle_type
1800,ObstacleWidth,obstacle[2],obstacle_width
1801,AngleSTD,obstacle[2],angle_std
1801,ObstacleAngleLeft,obstacle[2],obstacle_angle_left
1801,ObstacleAngleRate,obstacle[2],obstacle_angle_rate
1801,ObstacleAngleRight,obstacle[2],obstacle_angle_right
1801,Obstacle_Accel_X,obstacle[2],obstacle_accel_x
1802,LongitudinalDistanceSTD,obstacle[3],longitudinal_distance_std
1802,ObstacleID,obstacle[3],obstacle_id
1802,ObstacleMeasured,obstacle[3],obstacle_measured
1802,ObstaclePosX,obstacle[3],obstacle_pos_x
1802,ObstaclePosY,obstacle[3],obstacle_pos_y
1802,ObstacleValid,obstacle[3],obstacle_valid
1802,ObstacleVelX,obstacle[3],obstacle_vel_x
1803,BlinkerInfo,obstacle[3],blinker_info
1803,Inverse_TTC,obstacle[3],inverse_ttc
1803,ObstacleAge,obstacle[3],obstacle_age
1803,ObstacleBrakeLights,obstacle[3],obstacle_brake_lights
1803,ObstacleLane,obstacle[3],obstacle_lane
1803,ObstacleStatus,obstacle[3],obstacle_status
1803,ObstacleType,obstacle[3],obstacle_type
1803,ObstacleWidth,obstacle[3],obstacle_width
1804,AngleSTD,obstacle[3],angle_std
1804,ObstacleAngleLeft,obstacle[3],obstacle_angle_left
1804,ObstacleAngleRate,obstacle[3],obstacle_angle_rate
1804,ObstacleAngleRight,obstacle[3],obstacle_angle_right
1804,Obstacle_Accel_X,obstacle[3],obstacle_accel_x
1805,LongitudinalDistanceSTD,obstacle[4],longitudinal_distance_std
1805,ObstacleID,obstacle[4],obstacle_id
1805,ObstacleMeasured,obstacle[4],obstacle_measured
1805,ObstaclePosX,obstacle[4],obstacle_pos_x
1805,ObstaclePosY,obstacle[4],obstacle_pos_y
1805,ObstacleValid,obstacle[4],obstacle_valid
1805,ObstacleVelX,obstacle[4],obstacle_vel_x
1806,BlinkerInfo,obstacle[4],blinker_info
1806,Inverse_TTC,obstacle[4],inverse_ttc
1806,ObstacleAge,obstacle[4],obstacle_age
1806,ObstacleBrakeLights,obstacle[4],obstacle_brake_lights
1806,ObstacleLane,obstacle[4],obstacle_lane
1806,ObstacleStatus,obstacle[4],obstacle_status
1806,ObstacleType,obstacle[4],obstacle_type
1806,ObstacleWidth,obstacle[4],obstacle_width
1807,AngleSTD,obstacle[4],angle_std
1807,ObstacleAngleLeft,obstacle[4],obstacle_angle_left
1807,ObstacleAngleRate,obstacle[4],obstacle_angle_rate
1807,ObstacleAngleRight,obstacle[4],obstacle_angle_right
1807,Obstacle_Accel_X,obstacle[4],obstacle_accel_x
1808,LongitudinalDistanceSTD,obstacle[5],longitudinal_distance_std
1808,ObstacleID,obstacle[5],obstacle_id
1808,ObstacleMeasured,obstacle[5],obstacle_measured
1808,ObstaclePosX,obstacle[5],obstacle_pos_x
1808,ObstaclePosY,obstacle[5],obstacle_pos_y
1808,ObstacleValid,obstacle[5],obstacle_valid
1808,ObstacleVelX,obstacle[5],obstacle_vel_x
1809,BlinkerInfo,obstacle[5],blinker_info
1809,Inverse_TTC,obstacle[5],inverse_ttc
1809,ObstacleAge,obstacle[5],obstacle_age
1809,ObstacleBrakeLights,obstacle[5],obstacle_brake_lights
1809,ObstacleLane,obstacle[5],obstacle_lane
1809,ObstacleStatus,obstacle[5],obstacle_status
1809,ObstacleType,obstacle[5],obstacle_type
1809,ObstacleWidth,obstacle[5],obstacle_width
1810,AngleSTD,obstacle[5],angle_std
1810,ObstacleAngleLeft,obstacle[5],obstacle_angle_left
1810,ObstacleAngleRate,obstacle[5],obstacle_angle_rate
1810,ObstacleAngleRight,obstacle[5],obstacle_angle_right
1810,Obstacle_Accel_X,obstacle[5],obstacle_accel_x
1811,LongitudinalDistanceSTD,obstacle[6],longitudinal_distance_std
1811,ObstacleID,obstacle[6],obstacle_id
1811,ObstacleMeasured,obstacle[6],obstacle_measured
1811,ObstaclePosX,obstacle[6],obstacle_pos_x
1811,ObstaclePosY,obstacle[6],obstacle_pos_y
1811,ObstacleValid,obstacle[6],obstacle_valid
1811,ObstacleVelX,obstacle[6],obstacle_vel_x
1812,BlinkerInfo,obstacle[6],blinker_info
1812,Inverse_TTC,obstacle[6],inverse_ttc
1812,ObstacleAge,obstacle[6],obstacle_age
1812,ObstacleBrakeLights,obstacle[6],obstacle_brake_lights
1812,ObstacleLane,obstacle[6],obstacle_lane
1812,ObstacleStatus,obstacle[6],obstacle_status
1812,ObstacleType,obstacle[6],obstacle_type
1812,ObstacleWidth,obstacle[6],obstacle_width
1813,AngleSTD,obstacle[6],angle_std
1813,ObstacleAngleLeft,obstacle[6],obstacle_angle_left
1813,ObstacleAngleRate,obstacle[6],obstacle_angle_rate
1813,ObstacleAngleRight,obstacle[6],obstacle_angle_right
1813,Obstacle_Accel_X,obstacle[6],obstacle_accel_x
1814,LongitudinalDistanceSTD,obstacle[7],longitudinal_distance_std
1814,ObstacleID,obstacle[7],obstacle_id
1814,ObstacleMeasured,obstacle[7],obstacle_measured
1814,ObstaclePosX,obstacle[7],obstacle_pos_x
1814,ObstaclePosY,obstacle[7],obstacle_pos_y
1814,ObstacleValid,obstacle[7],obstacle_valid
1814,ObstacleVelX,obstacle[7],obstacle_vel_x
1815,BlinkerInfo,obstacle[7],blinker_info
1815,Inverse_TTC,obstacle[7],inverse_ttc
1815,ObstacleAge,obstacle[7],obstacle_age
1815,ObstacleBrakeLights,obstacle[7],obstacle_brake_lights
1815,ObstacleLane,obstacle[7],obstacle_lane
1815,ObstacleStatus,obstacle[7],obstacle_status
1815,ObstacleType,obstacle[7],obstacle_type
1815,ObstacleWidth,obstacle[7],obstacle_width
1816,AngleSTD,obstacle[7],angle_std
1816,ObstacleAngleLeft,obstacle[7],obstacle_angle_left
1816,ObstacleAngleRate,obstacle[7],obstacle_angle_rate
1816,ObstacleAngleRight,obstacle[7],obstacle_angle_right
1816,Obstacle_Accel_X,obstacle[7],obstacle_accel_x
1817,LongitudinalDistanceSTD,obstacle[8],longitudinal_distance_std
1817,ObstacleID,obstacle[8],obstacle_id
1817,ObstacleMeasured,obstacle[8],obstacle_measured
1817,ObstaclePosX,obstacle[8],obstacle_pos_x
1817,ObstaclePosY,obstacle[8],obstacle_pos_y
1817,ObstacleValid,obstacle[8],obstacle_valid
1817,ObstacleVelX,obstacle[8],obstacle_vel_x
1818,BlinkerInfo,obstacle[8],blinker_info
1818,Inverse_TTC,obstacle[8],inverse_ttc
1818,ObstacleAge,obstacle[8],obstacle_age
1818,ObstacleBrakeLights,obstacle[8],obstacle_brake_lights
1818,ObstacleLane,obstacle[8],obstacle_lane
1818,ObstacleStatus,obstacle[8],obstacle_status
1818,ObstacleType,obstacle[8],obstacle_type
1818,ObstacleWidth,obstacle[8],obstacle_width
1819,AngleSTD,obstacle[8],angle_std
1819,ObstacleAngleLeft,obstacle[8],obstacle_angle_left
1819,ObstacleAngleRate,obstacle[8],obstacle_angle_rate
1819,ObstacleAngleRight,obstacle[8],obstacle_angle_right
1819,Obstacle_Accel_X,obstacle[8],obstacle_accel_x
1820,LongitudinalDistanceSTD,obstacle[9],longitudinal_distance_std
1820,ObstacleID,obstacle[9],obstacle_id
1820,ObstacleMeasured,obstacle[9],obstacle_measured
1820,ObstaclePosX,obstacle[9],obstacle_pos_x
1820,ObstaclePosY,obstacle[9],obstacle_pos_y
1820,ObstacleValid,obstacle[9],obstacle_valid
1820,ObstacleVelX,obstacle[9],obstacle_vel_x
1821,BlinkerInfo,obstacle[9],blinker_info
1821,Inverse_TTC,obstacle[9],inverse_ttc
1821,ObstacleAge,obstacle[9],obstacle_age
1821,ObstacleBrakeLights,obstacle[9],obstacle_brake_lights
1821,ObstacleLane,obstacle[9],obstacle_lane
1821,ObstacleStatus,obstacle[9],obstacle_status
1821,ObstacleType,obstacle[9],obstacle_type
1821,ObstacleWidth,obstacle[9],obstacle_width
1822,AngleSTD,obstacle[9],angle_std
1822,ObstacleAngleLeft,obstacle[9],obstacle_angle_left
1822,ObstacleAngleRate,obstacle[9],obstacle_angle_rate
1822,ObstacleAngleRight,obstacle[9],obstacle_angle_right
1822,Obstacle_Accel_X,obstacle[9],obstacle_accel_x
